公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
3514,昱晶能源,1705745,2253981,2309285,-24.32,-26.13,7960892,7899036,0.78
3535,晶彩科,65094,40987,83775,58.81,-22.29,166592,180192,-7.54
3536,誠創科技,55863,58963,87868,-5.25,-36.42,196626,326178,-39.71
3557,嘉威光電,119798,130258,195486,-8.03,-38.71,468035,735546,-36.36
3561,昇陽科,1253767,1688513,592684,-25.74,111.54,6202332,2217342,179.71
3573,穎台,324905,410377,406887,-20.82,-20.14,1544948,1436574,7.54
3576,新日光,1601709,2371390,1350660,-32.45,18.58,8859837,4360726,103.17
3584,介面光電,527588,523272,342254,0.82,54.15,1723079,1485044,16.02
3591,艾笛森,249868,258251,294761,-3.24,-15.23,910777,898535,1.36
3593,力銘,207668,307274,418626,-32.41,-50.39,1135045,1496210,-24.13
3599,旺能,782734,1198361,506327,-34.68,54.59,4178328,1950425,114.22
3622,洋華,1370797,1418517,1443363,-3.36,-5.02,4949469,5186868,-4.57
3669,圓展,167445,151346,362192,10.63,-53.76,581713,1137846,-48.87
3698,隆達,780774,740982,598359,5.37,30.48,2523527,1907953,32.26
4934,太極能源,370397,529662,275613,-30.06,34.39,1905345,863734,120.59
4942,嘉彰,82728,134609,152779,-38.54,-45.85,390005,476912,-18.22
4956,光鋐,111110,106996,74940,3.84,48.26,387300,250076,54.87
4960,奇美材料,1261201,1376164,1495699,-8.35,-15.67,5407915,5103340,5.96
4976,佳凌,101981,113905,54102,-10.46,88.49,393108,187694,109.44
5234,達興,247016,250804,224662,-1.51,9.95,970464,885656,9.57
5484,慧友電子,113782,132028,173445,-13.81,-34.39,438835,650763,-32.56
6116,彩晶,3897258,3531451,5810822,10.35,-32.93,14429653,20505822,-29.63
6120,輔祥,1328252,1484681,2139082,-10.53,-37.9,5762579,6609364,-12.81
6131,悠克電子,129628,135489,130618,-4.32,-0.75,434035,449340,-3.4
6164,華興電子,126262,114814,141390,9.97,-10.69,402068,432869,-7.11
6168,宏齊科技,390792,408274,319565,-4.28,22.28,1471595,1134286,29.73
6176,瑞儀光電,291893,379591,298706,-23.1,-2.28,1366729,1062156,28.67
6209,今國光學,242260,228096,219922,6.2,10.15,964342,753327,28.01
6225,天瀚,35825,47547,101315,-24.65,-64.63,203095,331152,-38.67
6226,光鼎電子,66206,68971,70904,-4.0,-6.62,238084,260463,-8.59
6278,台表科,243585,438993,409293,-44.51,-40.48,1341212,1602299,-16.29
6289,華上光電,95555,73958,107214,29.2,-10.87,334183,410000,-18.49
8072,陞泰,268129,271938,244521,-1.4,9.65,1040428,934128,11.37
8105,凌巨,1125480,1341602,1156689,-16.1,-2.69,4409172,4118406,7.06
8215,明基材料,1782087,1710079,1553457,4.21,14.71,6740926,6240667,8.01
2314,台揚科技,650215,634493,570214,2.47,14.02,2515280,2327044,8.08
2321,東訊,568721,675017,516974,-15.74,10.0,2320696,2092879,10.88
2332,友訊科技,283590,262804,282804,7.9,0.27,998538,996926,0.16
2345,智邦科技,1159837,1424070,1432451,-18.55,-19.03,4935954,5513263,-10.47
2402,毅嘉科技,186630,224842,169996,-16.99,9.78,839801,650797,29.04
