Date,Open,High,Low,Close,Adj Close,Volume
2018-02-07,252.128998,262.963013,246.712006,246.712006,242.783829,5697473
2018-02-08,247.205002,250.651993,231.938995,232.923996,229.215363,6051167
2018-02-09,212.733994,227.507004,209.779007,227.507004,223.884628,7023928
2018-02-12,233.416000,233.908997,224.059998,224.552002,220.976669,2850161
2018-02-21,232.431000,240.802994,229.477005,234.893997,231.153992,3702501
2018-02-22,230.462006,237.356003,228.983994,237.356003,233.576797,2064939
2018-02-23,240.311005,246.220001,238.341003,238.341003,234.546112,2841359
2018-02-26,241.787994,243.264999,235.386002,235.386002,231.638184,1733766
2018-02-27,239.817993,251.143997,239.326004,240.311005,236.484756,6164854
2018-03-01,236.863007,240.802994,235.386002,239.817993,235.999588,2665352
2018-03-02,235.386002,238.341003,234.401001,238.341003,234.546112,1548678
2018-03-05,240.311005,240.802994,227.507004,227.507004,223.884628,2476766
2018-03-06,230.462006,232.431000,222.582993,227.507004,223.884628,2879803
2018-03-07,227.507004,230.462006,218.151001,219.628006,216.131088,3669216
2018-03-08,220.119995,225.537003,219.628006,223.074997,219.523193,2368745
2018-03-09,226.522003,234.401001,225.537003,226.522003,222.915314,4602224
2018-03-12,229.968994,231.447006,225.044998,226.029999,222.431137,2374489
2018-03-13,228.492004,235.386002,228.492004,232.431000,228.730225,3647421
2018-03-14,232.431000,233.416000,228.000000,233.416000,229.699539,1704142
2018-03-15,237.848007,256.561005,237.848007,256.561005,252.476013,6904636
2018-03-16,264.440002,265.424988,255.084000,256.561005,252.476013,12732779
2018-03-19,256.069000,259.023010,253.113998,253.606003,249.568085,2703417
2018-03-20,251.143997,255.576004,244.250000,245.727005,241.814529,3497346
2018-03-21,250.651993,269.856995,248.190002,269.856995,265.560303,10085354
2018-03-22,277.735992,288.570007,270.348999,275.765991,271.375214,16310278
2018-03-23,263.947998,280.691010,260.007996,280.691010,276.221832,7120344
2018-03-26,286.600006,301.864990,281.674988,296.449005,291.728943,14751051
2018-03-27,305.804993,307.774994,292.016998,295.955994,291.243774,10002465
2018-03-28,296.449005,306.296997,291.523987,302.358002,297.543854,10002728
2018-03-29,314.175995,317.131012,298.911011,298.911011,294.151703,12962435
2018-03-30,303.342987,305.312988,295.955994,303.342987,298.513153,6108390
2018-04-02,304.820007,304.820007,295.955994,295.955994,291.243774,3222963
2018-04-03,291.523987,304.328003,286.600006,304.328003,299.482483,5686073
2018-04-09,308.266998,308.266998,300.881012,304.328003,299.482483,3172371
2018-04-10,305.312988,334.365997,302.358002,334.365997,329.042206,13816636
2018-04-11,338.798004,351.109009,330.919006,335.351013,330.011505,16513149
2018-04-12,338.798004,346.677002,336.829010,344.708008,339.219543,7896698
2018-04-13,352.587006,364.404999,351.601990,364.404999,358.602936,12361882
2018-04-16,371.299011,400.846008,367.359985,400.846008,394.463715,14153326
2018-04-17,410.695007,423.006012,382.132996,382.132996,376.048645,18178950
2018-04-18,391.981995,397.890991,365.882996,378.686005,372.656525,16803729
2018-04-19,385.088013,390.997009,374.747009,382.132996,376.048645,8635217
2018-04-20,376.716003,381.640991,362.436005,362.436005,356.665283,7507093
2018-04-23,366.375000,376.716003,345.692993,345.692993,340.188843,5657513
2018-04-24,352.093994,368.345001,344.708008,345.692993,340.188843,7661412
2018-04-25,347.661987,360.466003,346.677002,347.170013,341.642334,4334639
2018-04-26,354.063995,357.019012,312.699005,318.608002,313.535126,8997920
2018-04-27,334.859009,334.859009,321.562988,325.010010,319.835175,5254847
2018-04-30,328.950012,351.601990,313.191986,346.677002,341.157196,10058416
2018-05-02,351.601990,352.587006,335.843994,337.813995,332.435303,8556963
2018-05-03,336.829010,342.738007,326.980011,327.471985,322.257965,5544310
2018-05-04,329.441986,358.496002,328.950012,356.526001,350.849365,11908859
2018-05-07,367.359985,384.102997,361.942993,365.390015,359.572266,14291747
2018-05-08,356.526001,366.867004,355.540985,357.510986,351.818665,6514199
2018-05-09,362.436005,377.209015,361.450989,367.359985,361.510864,8650542
2018-05-10,374.253998,377.209015,365.882996,366.867004,361.025726,5214465
2018-05-11,372.283997,383.118011,365.390015,365.390015,359.572266,8287977
2018-05-14,374.253998,377.209015,360.466003,375.239014,369.264435,11831024
2018-05-15,375.239014,382.132996,366.375000,366.375000,360.541565,6897378
2018-05-16,367.359985,371.299011,360.466003,363.912994,358.118744,4990480
2018-05-17,367.851990,374.747009,360.466003,360.466003,354.726654,5921950
2018-05-18,364.898010,366.375000,354.556000,354.556000,348.910736,4646457
2018-05-21,357.019012,390.011993,355.540985,390.011993,383.802216,13879598
2018-05-22,397.890991,421.528015,396.906006,419.558990,412.878754,22407138
2018-05-23,428.421997,438.270996,414.634003,423.989990,417.239197,15637090
2018-05-24,430.391998,460.923004,422.020996,455.014008,447.769257,18638859
2018-05-25,455.014008,462.401001,445.657990,448.119995,440.985016,12834285
2018-05-28,455.014008,473.726990,445.165009,445.165009,438.077087,13775500
2018-05-29,447.627991,455.998993,428.421997,429.407013,422.569977,9608398
2018-05-30,426.453003,451.075012,422.513000,451.075012,443.892944,8670136
2018-05-31,455.998993,469.295013,433.346985,441.226013,434.200806,10860833
2018-06-01,451.075012,461.907990,446.149994,460.923004,453.584167,8643507
2018-06-04,465.355011,477.665985,451.075012,451.075012,443.892944,11501242
2018-06-05,458.954010,470.279999,449.105011,470.279999,462.792175,9890220
2018-06-06,480.621002,482.591003,460.923004,463.385986,456.007935,9569729
2018-06-07,466.833008,470.772003,460.923004,461.907990,454.553467,5269334
2018-06-08,464.863007,474.712006,449.105011,451.566986,444.377106,6977371
2018-06-11,459.446014,488.992004,451.566986,480.621002,472.968506,13727135
2018-06-12,490.470001,504.257996,485.545013,504.257996,496.229156,10590244
2018-06-13,517.062012,545.622986,507.213013,545.622986,536.935547,12970393
2018-06-14,540.698975,543.653015,513.122009,521.986023,513.674927,7383413
2018-06-15,526.909973,571.229980,523.955994,546.607971,537.904846,10952702
2018-06-19,545.622986,545.622986,520.015991,521.986023,513.674927,6691431
2018-06-20,529.864990,537.744019,491.454987,522.971008,514.644226,13336454
2018-06-21,524.940979,534.789001,510.166992,510.166992,502.044067,6974975
2018-06-22,502.287994,504.257996,482.591003,482.591003,474.907135,6332524
2018-06-25,484.561005,491.454987,471.265015,473.234009,465.699158,5212887
2018-06-26,462.893005,479.635986,453.044006,479.635986,471.999176,7673322
2018-06-27,482.591003,494.408997,457.476013,457.476013,450.192047,7835462
2018-06-28,452.059998,479.144012,446.149994,446.643005,439.531525,12510434
2018-06-29,455.998993,471.265015,446.149994,471.265015,463.761505,8409823
2018-07-02,477.665985,483.083008,462.893005,464.371002,456.977264,6826893
2018-07-03,470.279999,473.726990,448.119995,452.059998,444.862274,4937230
2018-07-04,455.014008,469.295013,451.566986,467.325012,459.884247,4810662
2018-07-05,469.295013,471.265015,421.036011,421.036011,414.332245,8390039
2018-07-06,426.453003,457.476013,408.725006,453.044006,445.830627,10468809
2018-07-09,464.863007,464.863007,434.332001,434.332001,427.416534,4212083
2018-07-10,449.105011,477.174011,446.149994,475.696991,468.122894,5862675
2018-07-11,457.968994,492.440002,457.968994,460.923004,453.584167,6046717
2018-07-12,462.893005,487.515015,462.893005,485.545013,481.470154,6896962
2018-07-13,493.424011,522.971008,493.424011,507.213013,502.956299,9434452
2018-07-16,510.166992,518.046021,483.575989,488.500000,484.400330,8143910
2018-07-17,494.408997,499.334015,475.696991,484.067993,480.005524,6390917
2018-07-18,492.440002,493.424011,462.893005,472.742004,468.774597,5877004
2018-07-19,477.665985,487.515015,473.726990,478.651001,474.634003,5999425
2018-07-20,482.591003,499.334015,481.605988,490.470001,486.353821,8196087
2018-07-23,490.470001,490.470001,445.657990,465.355011,461.449585,8915528
2018-07-24,459.446014,475.204010,451.075012,475.204010,471.215942,6692440
2018-07-25,468.309998,478.158997,466.833008,473.726990,469.751312,3816129
2018-07-26,477.665985,490.470001,468.309998,468.309998,464.379791,5568129
2018-07-27,472.742004,480.621002,466.833008,480.621002,476.587463,4196728
2018-07-30,480.621002,488.007996,454.028992,469.295013,465.356537,7125910
2018-07-31,465.847992,476.682007,457.968994,476.188995,472.192657,4376339
2018-08-01,482.591003,486.529999,461.907990,464.371002,460.473846,6515890
2018-08-02,464.371002,466.833008,433.346985,434.824005,431.174805,8760336
2018-08-03,444.179993,445.657990,426.453003,432.854004,429.221344,7072910
2018-08-06,433.346985,434.824005,409.709991,420.050995,416.525787,7462314
2018-08-07,422.513000,433.346985,418.574005,433.346985,429.710205,4431240
2018-08-08,443.196014,443.687988,408.231995,408.231995,404.805969,8279524
2018-08-09,401.830994,414.634003,390.997009,405.769989,402.364624,8843564
2018-08-10,399.368011,407.739990,397.398987,397.398987,394.063873,4191207
2018-08-13,385.579987,389.027008,358.003998,365.882996,362.812378,8235410
2018-08-14,372.283997,376.223999,350.125000,369.329987,366.230438,8628622
2018-08-15,365.390015,373.761993,353.571991,373.269012,370.136414,6980440
2018-08-16,366.375000,384.102997,362.436005,378.194000,375.020081,8062009
2018-08-17,382.626007,390.997009,375.730988,375.730988,372.577728,6816219
2018-08-20,378.194000,379.178009,357.510986,370.315002,367.207184,6270443
2018-08-21,365.882996,389.027008,362.928009,389.027008,385.762177,7123067
2018-08-22,385.579987,388.535004,379.178009,381.148010,377.949280,3872942
2018-08-23,382.132996,389.519989,380.162994,382.132996,378.925995,4002968
2018-08-24,377.209015,387.057007,372.283997,387.057007,383.808685,3668673
2018-08-27,390.997009,401.830994,387.057007,398.876007,395.528503,4576206
2018-08-28,403.799988,414.634003,403.799988,406.263000,402.853516,4914897
2018-08-29,407.739990,409.709991,400.352997,404.292999,400.900024,4026297
2018-08-30,411.678986,411.678986,393.951996,393.951996,390.645813,3393015
2018-08-31,389.519989,395.428986,382.626007,392.473999,389.180237,4152204
2018-09-03,388.535004,388.535004,360.466003,360.466003,357.440857,5558792
2018-09-04,363.912994,377.700989,363.420013,377.700989,374.531189,4334140
2018-09-05,374.747009,376.223999,368.345001,368.345001,365.253723,2949484
2018-09-06,362.436005,380.162994,351.601990,378.194000,375.020081,8043219
2018-09-07,370.315002,376.223999,361.450989,363.420013,360.370056,4075055
2018-09-10,363.420013,363.420013,330.919006,330.919006,328.141815,7863309
2018-09-11,330.919006,354.556000,330.427002,351.601990,348.651215,7533168
2018-09-12,349.631989,350.617004,333.873993,341.260986,338.397003,5950964
2018-09-13,340.768005,348.154999,318.115997,324.518005,321.794556,7382169
2018-09-14,331.903992,340.768005,324.024994,332.889008,330.095306,6535289
2018-09-17,325.994995,330.919006,315.653992,330.427002,327.653961,5648805
2018-09-18,322.054993,323.532990,304.328003,308.266998,305.679932,7720611
2018-09-19,313.191986,316.145996,301.864990,301.864990,299.331635,4597005
2018-09-20,305.312988,306.790009,289.553986,301.864990,299.331635,6582543
2018-09-21,295.463989,299.895996,285.122986,295.463989,292.984344,11114867
2018-09-25,301.372986,314.669006,292.509003,307.282013,304.703186,6822659
2018-09-26,311.713989,318.115997,308.266998,318.115997,315.446259,5707085
2018-09-27,312.207001,329.934998,309.744995,314.175995,311.539337,8138215
2018-09-28,319.101013,324.518005,311.713989,312.207001,309.586853,6313115
2018-10-01,311.221985,318.115997,311.221985,317.131012,314.469543,2385900
2018-10-02,321.071014,324.518005,312.207001,312.207001,309.586853,3586633
2018-10-03,308.266998,313.191986,281.183014,281.183014,278.823242,8526979
2018-10-04,272.812012,283.153015,266.902008,283.153015,280.776703,8738208
2018-10-05,275.765991,277.735992,255.084000,259.023010,256.849213,9341146
2018-10-08,246.712006,263.947998,246.220001,249.667007,247.571716,7413679
2018-10-09,249.173996,252.128998,228.000000,251.143997,249.036316,11953355
2018-10-11,228.983994,237.356003,226.029999,226.029999,224.133087,5020810
2018-10-12,222.582993,238.341003,220.613007,228.492004,226.574417,8387582
2018-10-15,225.044998,235.386002,222.089996,235.386002,233.410568,5322706
2018-10-16,233.416000,239.817993,223.074997,228.000000,226.086548,7125837
2018-10-17,236.371002,238.832993,227.507004,230.953995,229.015747,5313734
2018-10-18,230.953995,236.371002,210.272003,218.643005,216.808075,9520653
2018-10-19,211.748993,229.477005,204.854996,229.477005,227.551163,12816595
2018-10-22,226.522003,231.447006,218.643005,221.104996,219.249405,11091964
2018-10-23,216.673004,225.044998,215.195999,216.673004,214.854614,7414095
2018-10-24,221.104996,233.908997,216.673004,221.598007,219.738281,11700101
2018-10-25,207.317001,214.703995,200.423004,204.854996,203.135788,10484521
2018-10-26,211.748993,214.210999,204.854996,205.347000,203.623657,10414922
2018-10-29,207.809006,210.272003,191.067001,206.332001,204.600388,11217385
2018-10-30,206.824997,207.809006,194.020996,194.020996,192.392700,9867130
2018-10-31,198.945999,205.347000,196.975998,196.975998,195.322906,10050766
2018-11-01,196.975998,216.673004,194.020996,216.673004,214.854614,9198003
